Level2,Level3,Level4
Crafts Room,Spring Foraging Bundle,Wild Horseradish
Crafts Room,Spring Foraging Bundle,Leek
Crafts Room,Spring Foraging Bundle,Daffodil
Crafts Room,Spring Foraging Bundle,Dandelion
Crafts Room,Summer Foraging Bundle,Grape
Crafts Room,Summer Foraging Bundle,Sweet Pea
Crafts Room,Summer Foraging Bundle,Spice Berry
Crafts Room,Fall Foraging Bundle,Common Mushroom
Crafts Room,Fall Foraging Bundle,Wild Plum
Crafts Room,Fall Foraging Bundle,Hazelnut
Crafts Room,Fall Foraging Bundle,Blackberry
Crafts Room,Winter Foraging Bundle,Winter Root
Crafts Room,Winter Foraging Bundle,Crystal Fruit
Crafts Room,Winter Foraging Bundle,Snow Yam
Crafts Room,Winter Foraging Bundle,Crocus
Crafts Room,Construction Bundle,Wood
Crafts Room,Construction Bundle,Wood
Crafts Room,Construction Bundle,Stone
Crafts Room,Construction Bundle,Hardwood
Crafts Room,Exotic Foraging Bundle (5/9),Coconut
Crafts Room,Exotic Foraging Bundle (5/9),Cactus Fruit
Crafts Room,Exotic Foraging Bundle (5/9),Cave Carrot
Crafts Room,Exotic Foraging Bundle (5/9),Red Mushroom
Crafts Room,Exotic Foraging Bundle (5/9),Purple Mushroom
Crafts Room,Exotic Foraging Bundle (5/9),Maple Syrup
Crafts Room,Exotic Foraging Bundle (5/9),Oak Resin
Crafts Room,Exotic Foraging Bundle (5/9),Pine Tar
Crafts Room,Exotic Foraging Bundle (5/9),Morel
Pantry,Spring Crops Bundle,Parsnip
Pantry,Spring Crops Bundle,Green Bean
Pantry,Spring Crops Bundle,Cauliflower
Pantry,Spring Crops Bundle,Potato
Pantry,Summer Crops Bundle,Tomato
Pantry,Summer Crops Bundle,Hot Pepper
Pantry,Summer Crops Bundle,Blueberry
Pantry,Summer Crops Bundle,Melon
Pantry,Fall Crops Bundle,Corn
Pantry,Fall Crops Bundle,Eggplant
Pantry,Fall Crops Bundle,Pumpkin
Pantry,Fall Crops Bundle,Yam
Pantry,Quality Crops Bundle (3/4),Parsnip
Pantry,Quality Crops Bundle (3/4),Melon
Pantry,Quality Crops Bundle (3/4),Pumpkin
Pantry,Quality Crops Bundle (3/4),Corn
Pantry,Animal Bundle (5/6),Large Milk
Pantry,Animal Bundle (5/6),Large Egg (brown)
