Character,Best Gifts,Image
Elliott,Crab Cakes,<img src='https://stardewvalleywiki.com/mediawiki/images/7/70/Crab_Cakes.png'></img>
Elliott,Duck Feather,<img src='https://stardewvalleywiki.com/mediawiki/images/f/f9/Duck_Feather.png'></img>
Elliott,Lobster,<img src='https://stardewvalleywiki.com/mediawiki/images/9/9f/Lobster.png'></img>
Elliott,Pomegranate,<img src='https://stardewvalleywiki.com/mediawiki/images/1/1b/Pomegranate.png'></img>
Elliott,Tom Kha Soup,<img src='https://stardewvalleywiki.com/mediawiki/images/3/3b/Tom_Kha_Soup.png'></img>
Leah,Goat Cheese,<img src='https://stardewvalleywiki.com/mediawiki/images/c/c8/Goat_Cheese.png'></img>
Leah,Poppyseed Muffin,<img src='https://stardewvalleywiki.com/mediawiki/images/8/8e/Poppyseed_Muffin.png'></img>
Leah,Salad,<img src='https://stardewvalleywiki.com/mediawiki/images/7/7e/Salad.png'></img>
Leah,Stir Fry,<img src='https://stardewvalleywiki.com/mediawiki/images/e/ed/Stir_Fry.png'></img>
Leah,Truffle,<img src='https://stardewvalleywiki.com/mediawiki/images/f/f2/Truffle.png'></img>
Leah,Vegetable Medley,<img src='https://stardewvalleywiki.com/mediawiki/images/0/0a/Vegetable_Medley.png'></img>
Leah,Wine,<img src='https://stardewvalleywiki.com/mediawiki/images/6/69/Wine.png'></img>
