Character,Best Gifts,Image
Elliott,Golden Pumpkin,<img src='https://stardewvalleywiki.com/mediawiki/images/4/46/Golden_Pumpkin.png'></img>
Elliott,Magic Rock Candy,<img src='https://stardewvalleywiki.com/mediawiki/images/2/25/Magic_Rock_Candy.png'></img>
Elliott,Pearl,<img src='https://stardewvalleywiki.com/mediawiki/images/7/73/Pearl.png'></img>
Elliott,Prismatic Shard,<img src='https://stardewvalleywiki.com/mediawiki/images/5/56/Prismatic_Shard.png'></img>
Elliott,Rabbit's Foot,<img src='https://stardewvalleywiki.com/mediawiki/images/c/ca/Rabbit%27s_Foot.png'></img>
Leah,Golden Pumpkin,<img src='https://stardewvalleywiki.com/mediawiki/images/4/46/Golden_Pumpkin.png'></img>
Leah,Magic Rock Candy,<img src='https://stardewvalleywiki.com/mediawiki/images/2/25/Magic_Rock_Candy.png'></img>
Leah,Pearl,<img src='https://stardewvalleywiki.com/mediawiki/images/7/73/Pearl.png'></img>
Leah,Prismatic Shard,<img src='https://stardewvalleywiki.com/mediawiki/images/5/56/Prismatic_Shard.png'></img>
Leah,Rabbit's Foot,<img src='https://stardewvalleywiki.com/mediawiki/images/c/ca/Rabbit%27s_Foot.png'></img>
