Character,Season,Day,Weather,CC_Completed,BFF_6PlusHearts,Spouse,Start,End,Location
Elliott,Summer,Monday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Tuesday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Wednesday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Thursday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Friday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Saturday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,Yes,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,No,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,Yes,Yes,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Sunday,Raining,No,No,No,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Raining,Yes,No,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
Elliott,Summer,Monday,Raining,No,Yes,Yes,1/1/2000 6:00,1/2/2000 0:00,Home
